Abbreviation,Description,Reaction,GPR,Genes,Proteins,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC Number,Notes,References
2.3.1.133-RXN_Dark_c_M2,2.3.1.133-RXN_Dark_c,P-COUMAROYL-COA_Dark_c_M2 + SHIKIMATE_Dark_c_M2 --> CO-A_Dark_c_M2 + CPD-412_Dark_c_M2,,,,,0,0,1000,0,,,,
2.3.1.133-RXN_Light_c_M1,2.3.1.133-RXN_Light_c,P-COUMAROYL-COA_Light_c_M1 + SHIKIMATE_Light_c_M1 --> CO-A_Light_c_M1 + CPD-412_Light_c_M1,,,,,0,0,1000,0,,,,
2.3.1.133-RXN_Light_c_M2,2.3.1.133-RXN_Light_c,P-COUMAROYL-COA_Light_c_M2 + SHIKIMATE_Light_c_M2 --> CO-A_Light_c_M2 + CPD-412_Light_c_M2,,,,,0,0,1000,0,,,,
2.3.1.180-RXN_Dark_p_M1,2.3.1.180-RXN_Dark_p,ACETYL-COA_Dark_p_M1 + MALONYL-ACP_Dark_p_M1 --> Acetoacetyl-ACPs_Dark_p_M1 + CARBON-DIOXIDE_Dark_p_M1 + CO-A_Dark_p_M1,,,,,0,0,1000,0,,,,
2.3.1.180-RXN_Dark_p_M2,2.3.1.180-RXN_Dark_p,ACETYL-COA_Dark_p_M2 + MALONYL-ACP_Dark_p_M2 --> Acetoacetyl-ACPs_Dark_p_M2 + CARBON-DIOXIDE_Dark_p_M2 + CO-A_Dark_p_M2,,,,,0,0,1000,0,,,,
2.3.1.180-RXN_Light_p_M1,2.3.1.180-RXN_Light_p,ACETYL-COA_Light_p_M1 + MALONYL-ACP_Light_p_M1 --> Acetoacetyl-ACPs_Light_p_M1 + CARBON-DIOXIDE_Light_p_M1 + CO-A_Light_p_M1,,,,,0,0,1000,0,,,,
2.3.1.180-RXN_Light_p_M2,2.3.1.180-RXN_Light_p,ACETYL-COA_Light_p_M2 + MALONYL-ACP_Light_p_M2 --> Acetoacetyl-ACPs_Light_p_M2 + CARBON-DIOXIDE_Light_p_M2 + CO-A_Light_p_M2,,,,,0,0,1000,0,,,,
2.3.1.91-RXN_Dark_c_M1,2.3.1.91-RXN_Dark_c,1-O-SINAPOYL-BETA-D-GLUCOSE_Dark_c_M1 + CHOLINE_Dark_c_M1 --> GLC_Dark_c_M1 + O-SINAPOYLCHOLINE_Dark_c_M1,,,,,0,0,1000,0,,,,
2.3.1.91-RXN_Dark_c_M2,2.3.1.91-RXN_Dark_c,1-O-SINAPOYL-BETA-D-GLUCOSE_Dark_c_M2 + CHOLINE_Dark_c_M2 --> GLC_Dark_c_M2 + O-SINAPOYLCHOLINE_Dark_c_M2,,,,,0,0,1000,0,,,,
2.3.1.91-RXN_Light_c_M1,2.3.1.91-RXN_Light_c,1-O-SINAPOYL-BETA-D-GLUCOSE_Light_c_M1 + CHOLINE_Light_c_M1 --> GLC_Light_c_M1 + O-SINAPOYLCHOLINE_Light_c_M1,,,,,0,0,1000,0,,,,
2.3.1.91-RXN_Light_c_M2,2.3.1.91-RXN_Light_c,1-O-SINAPOYL-BETA-D-GLUCOSE_Light_c_M2 + CHOLINE_Light_c_M2 --> GLC_Light_c_M2 + O-SINAPOYLCHOLINE_Light_c_M2,,,,,0,0,1000,0,,,,
2.4.1.111-RXN_Dark_c_M1,2.4.1.111-RXN_Dark_c,CONIFERYL-ALCOHOL_Dark_c_M1 + UDP-GLUCOSE_Dark_c_M1 --> CPD-1777_Dark_c_M1 + UDP_Dark_c_M1,,,,,0,0,1000,0,,,,
2.4.1.111-RXN_Dark_c_M2,2.4.1.111-RXN_Dark_c,CONIFERYL-ALCOHOL_Dark_c_M2 + UDP-GLUCOSE_Dark_c_M2 --> CPD-1777_Dark_c_M2 + UDP_Dark_c_M2,,,,,0,0,1000,0,,,,
2.4.1.111-RXN_Light_c_M1,2.4.1.111-RXN_Light_c,CONIFERYL-ALCOHOL_Light_c_M1 + UDP-GLUCOSE_Light_c_M1 --> CPD-1777_Light_c_M1 + UDP_Light_c_M1,,,,,0,0,1000,0,,,,
